cargo_cru,cargo_canonico,familia,hierarquia,escolaridade_predominante,escolaridade_distribuicao,administrativo,registros,n_secretarias
LAVADOR / LUBRIFICADOR,LAVADOR / LUBRIFICADOR,Administrativo,Operacional,Fundamental incompleto / Superior completo,"Fundamental incompleto: 50%, Superior completo: 50%",nao,2,1
JARDINEIRO,JARDINEIRO,Administrativo,Operacional,Fundamental incompleto / Sem escolaridade formal registrada,"Fundamental incompleto: 50%, Sem escolaridade formal registrada: 50%",nao,2,2
TRATADOR DE ANIMAIS,TRATADOR DE ANIMAIS,Administrativo,Operacional,Fundamental incompleto / Medio completo,"Fundamental incompleto: 50%, Medio completo: 50%",nao,2,1
OF.FUNILEIRO,OF.FUNILEIRO,Administrativo,Operacional,Medio completo / Fundamental incompleto,"Medio completo: 50%, Fundamental incompleto: 50%",nao,2,1
ELETRICISTA DE VEICULOS,ELETRICISTA DE VEICULOS,Infraestrutura,Operacional,Medio completo / Fundamental incompleto,"Medio completo: 50%, Fundamental incompleto: 50%",nao,2,1
MOT CHEFIA PODER EXECUTIVO(FG),MOT CHEFIA PODER EXECUTIVO(FG),Administrativo,Operacional,Medio completo / Superior completo,"Medio completo: 50%, Superior completo: 50%",nao,2,2
AGENTE INFANTIL - READAPTADO,AGENTE INFANTIL - READAPTADO,Administrativo,Redistribuído,Medio completo,Medio completo: 100%,nao,2,1
INAT/PENS(MECANICO),INAT/PENS(MECANICO),Temporário,Temporário,Fundamental completo / Medio completo,"Fundamental completo: 50%, Medio completo: 50%",sim,2,1
INAT/PENS(JARDINEIRO),INAT/PENS(JARDINEIRO),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,2,1
INAT/PENS(AUX.ENFERMAGEM),INAT/PENS(AUX.ENFERMAGEM),Temporário,Temporário,Fundamental completo / Medio completo,"Fundamental completo: 50%, Medio completo: 50%",sim,2,1
INAT/PENS(PROCURADOR),INAT/PENS(PROCURADOR),Temporário,Temporário,Fundamental completo / Superior completo,"Fundamental completo: 50%, Superior completo: 50%",sim,2,1
INAT/PENS(PROF.III NIV),INAT/PENS(PROF.III NIV),Temporário,Temporário,Superior completo,Superior completo: 100%,sim,2,1
INAT/PENS(PROF.III NIII),INAT/PENS(PROF.III NIII),Temporário,Temporário,Superior completo,Superior completo: 100%,sim,2,1
INAT/PENS(PROF.I NI),INAT/PENS(PROF.I NI),Temporário,Temporário,Medio completo,Medio completo: 100%,sim,2,1
INAT/PENS(OPER.UTILIDADES),INAT/PENS(OPER.UTILIDADES),Temporário,Temporário,Superior completo / Fundamental incompleto,"Superior completo: 50%, Fundamental incompleto: 50%",sim,2,1
INAT/PENS(AG.SANITARIO),INAT/PENS(AG.SANITARIO),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,2,1
INAT/PENS(AJUD.SERV.),INAT/PENS(AJUD.SERV.),Temporário,Temporário,Fundamental completo / Sem escolaridade formal registrada,"Fundamental completo: 50%, Sem escolaridade formal registrada: 50%",sim,2,1
BIBLIOTECARIO I,BIBLIOTECARIO I,Administrativo,Operacional,Superior completo / Pos-graduacao,"Superior completo: 50%, Pos-graduacao: 50%",nao,2,1
SUPERV MANUT EQUIP SES,SUPERV MANUT EQUIP SES,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,1
SUPERV PROJ TI (FG),SUPERV PROJ TI (FG),Administrativo,Operacional,Pos-graduacao / Superior completo,"Pos-graduacao: 50%, Superior completo: 50%",nao,2,1
SUPERV ARRECAD DE EXEC FISCAL,SUPERV ARRECAD DE EXEC FISCAL,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,1
TECNOLOGO EM SAUDE,TECNOLOGO EM SAUDE,Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,2,1
OUVIDOR DA PMS(FG),OUVIDOR DA PMS(FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,1
COORD PROJ GOV (FG),COORD PROJ GOV (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,1
MUSEOLOGO I,MUSEOLOGO I,Administrativo,Operacional,Pos-graduacao / Superior completo,"Pos-graduacao: 50%, Superior completo: 50%",nao,2,1
TECNICO AGRICOLA,TECNICO AGRICOLA,Administrativo,Técnico,Superior completo / Medio completo,"Superior completo: 50%, Medio completo: 50%",nao,2,1
COORD CONS JURIDICA(FG),COORD CONS JURIDICA(FG),Administrativo,Operacional,Pos-graduacao / Superior completo,"Pos-graduacao: 50%, Superior completo: 50%",nao,2,1
ENG. FLORESTAL,ENG. FLORESTAL,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,2
BIOLOGISTA,BIOLOGISTA,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,2,1
TEC EM EVENTOS,TEC EM EVENTOS,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,2,2
TEC.DE TRAFEGO,TEC.DE TRAFEGO,Administrativo,Técnico,Medio completo,Medio completo: 100%,nao,1,1
OPER.DE MAQ.PESADAS,OPER.DE MAQ.PESADAS,Administrativo,Operacional,Fundamental completo,Fundamental completo: 100%,nao,1,1
SECRET JUNTA SERVICO MILITAR,SECRET JUNTA SERVICO MILITAR,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
FISCAL DE TRIBUTOS I,FISCAL DE TRIBUTOS I,Fiscalização,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
OF.PINTOR LETRISTA,OF.PINTOR LETRISTA,Administrativo,Operacional,Fundamental incompleto,Fundamental incompleto: 100%,nao,1,1
TORNEIRO MECANICO,TORNEIRO MECANICO,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,1,1
OF.MANUT/CONSERVACAO,OF.MANUT/CONSERVACAO,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,1,1
OF.OBRAS E MANUTENCAO,OF.OBRAS E MANUTENCAO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
AJUDANTE DE SERVICOS,AJUDANTE DE SERVICOS,Apoio,Operacional,Fundamental completo,Fundamental completo: 100%,nao,1,1
AGENTE DE RECR. E LAZER,AGENTE DE RECR. E LAZER,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
INSPETOR COMAND.LOCAL,INSPETOR COMAND.LOCAL,Apoio,Operacional,Medio completo,Medio completo: 100%,nao,1,1
COMANDANTE-GERAL,COMANDANTE-GERAL,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COMANDANTE OPERACIONAL,COMANDANTE OPERACIONAL,Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
COORD GERAL DEF CIVIL (FG),COORD GERAL DEF CIVIL (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
CORREGEDOR-ADJUNTO,CORREGEDOR-ADJUNTO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
INAT/PENS(AUX.FISCALIZACAO),INAT/PENS(AUX.FISCALIZACAO),Temporário,Temporário,Fundamental incompleto,Fundamental incompleto: 100%,sim,1,1
INAT/PENS(AG.FISCALIZACAO),INAT/PENS(AG.FISCALIZACAO),Temporário,Temporário,Medio completo,Medio completo: 100%,sim,1,1
INAT/PENS(AUX.ADM),INAT/PENS(AUX.ADM),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(FUNILEIRO),INAT/PENS(FUNILEIRO),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(ZELADOR),INAT/PENS(ZELADOR),Temporário,Temporário,Fundamental incompleto,Fundamental incompleto: 100%,sim,1,1
INAT/PENS(COMPRADOR I),INAT/PENS(COMPRADOR I),Temporário,Temporário,Superior completo,Superior completo: 100%,sim,1,1
INAT/PENS(PROF.ED.INF.II NII),INAT/PENS(PROF.ED.INF.II NII),Temporário,Temporário,Superior completo,Superior completo: 100%,sim,1,1
INAT/PENS(PROF.ED.INF.II NI),INAT/PENS(PROF.ED.INF.II NI),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(PROF.ED.INF.II NIII),INAT/PENS(PROF.ED.INF.II NIII),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(REGENTE MATERNAL),INAT/PENS(REGENTE MATERNAL),Temporário,Temporário,Fundamental incompleto,Fundamental incompleto: 100%,sim,1,1
INAT/PENS(PROF.I NIII),INAT/PENS(PROF.I NIII),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(OF.PINTOR VEICULOS),INAT/PENS(OF.PINTOR VEICULOS),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
INAT/PENS(AG.ADM),INAT/PENS(AG.ADM),Temporário,Temporário,Medio completo,Medio completo: 100%,sim,1,1
MOTORISTA EXECUTIVO (FG),MOTORISTA EXECUTIVO (FG),Apoio,Operacional,Medio completo,Medio completo: 100%,nao,1,1
SUPERV PROJ HAB(FG),SUPERV PROJ HAB(FG),Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
GESTOR EM SAUDE OCUPAC (FG),GESTOR EM SAUDE OCUPAC (FG),Liderança,Liderança,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
AUDITOR GERAL DA SAUDE,AUDITOR GERAL DA SAUDE,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
OUVIDOR DA SAUDE (FG),OUVIDOR DA SAUDE (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORD DE PLAN ORCAMENTARIO,COORD DE PLAN ORCAMENTARIO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
SECRET DELEGACIA SERV MILITAR,SECRET DELEGACIA SERV MILITAR,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
GESTOR HUMANIZACAO (FG),GESTOR HUMANIZACAO (FG),Liderança,Liderança,Superior completo,Superior completo: 100%,nao,1,1
GERENTE DE PROJ SAUDE DIGITAL (FG),GERENTE DE PROJ SAUDE DIGITAL (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
CONTROLADOR GERAL DO MUNICIPIO,CONTROLADOR GERAL DO MUNICIPIO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
GERENTE AUDIT INT (FG),GERENTE AUDIT INT (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
CORREGEDOR DA GCM (FG),CORREGEDOR DA GCM (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORD DE PLAN SAUDE DIGITAL (FG),COORD DE PLAN SAUDE DIGITAL (FG),Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
TEC.AGRIMENSURA I,TEC.AGRIMENSURA I,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORDENADOR DA MULHER,COORDENADOR DA MULHER,Liderança,Liderança,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
COORD REGULACAO ELETIVA SAUDE,COORD REGULACAO ELETIVA SAUDE,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORDENADOR DE SAUDE MENTAL,COORDENADOR DE SAUDE MENTAL,Liderança,Liderança,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
COORD ENFERM SAMU-REGIONAL(FG),COORD ENFERM SAMU-REGIONAL(FG),Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
MOTORISTA HUMANIZACAO (FG),MOTORISTA HUMANIZACAO (FG),Apoio,Operacional,Medio completo,Medio completo: 100%,nao,1,1
COORD GERAL DE TI,COORD GERAL DE TI,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
ASSESSOR DE GAB SESU,ASSESSOR DE GAB SESU,Liderança,Liderança,Pos-graduacao,Pos-graduacao: 100%,sim,1,1
ENCANADOR,ENCANADOR,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,1,1
OUVIDOR DA GCM (FG),OUVIDOR DA GCM (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
MEDICO VETER. ZOONOSES,MEDICO VETER. ZOONOSES,Saúde,Especialista,Superior completo,Superior completo: 100%,nao,1,1
GERENTE SOCIOAMB CADI(FG),GERENTE SOCIOAMB CADI(FG),Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
AUDITOR GERAL DO MUNICIPIO,AUDITOR GERAL DO MUNICIPIO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
DIRIGENTE DAS UNIDADES TECNICAS,DIRIGENTE DAS UNIDADES TECNICAS,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
SUPERV PROJ OBRAS SEURB(FG),SUPERV PROJ OBRAS SEURB(FG),Administrativo,Operacional,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
COORD DE EDUC E TREIN SAUDE,COORD DE EDUC E TREIN SAUDE,Administrativo,Operacional,Mestrado,Mestrado: 100%,nao,1,1
PROCURADOR-GERAL(FG),PROCURADOR-GERAL(FG),Liderança,Especialista,Pos-graduacao,Pos-graduacao: 100%,nao,1,1
INAT/PENS(FISCAL SERV.II),INAT/PENS(FISCAL SERV.II),Temporário,Temporário,Fundamental incompleto,Fundamental incompleto: 100%,sim,1,1
OPER.DE MAQUINAS,OPER.DE MAQUINAS,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,1,1
CORREGEDOR GERAL DO MUNICIPIO,CORREGEDOR GERAL DO MUNICIPIO,Administrativo,Operacional,Mestrado,Mestrado: 100%,nao,1,1
INAT/PENS(CARPINTEIRO),INAT/PENS(CARPINTEIRO),Temporário,Temporário,Fundamental incompleto,Fundamental incompleto: 100%,sim,1,1
INAT/PENS(ASSIST.ADM.I),INAT/PENS(ASSIST.ADM.I),Temporário,Temporário,Fundamental completo,Fundamental completo: 100%,sim,1,1
SUPERV SEG E CTLE EVENTOS GOV (FG),SUPERV SEG E CTLE EVENTOS GOV (FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORD GERAL TRANSP E PROT DADOS,COORD GERAL TRANSP E PROT DADOS,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
PREFEITO,PREFEITO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
VICE-PREFEITO,VICE-PREFEITO,Administrativo,Operacional,Medio completo,Medio completo: 100%,nao,1,1
GERENTE OBRAS E PROJ CADI(FG),GERENTE OBRAS E PROJ CADI(FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
ECONOMISTA I,ECONOMISTA I,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORD MEDICO SAMU-REGIONAL(FG),COORD MEDICO SAMU-REGIONAL(FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
TEC DE TURISMO I,TEC DE TURISMO I,Administrativo,Técnico,Superior completo,Superior completo: 100%,nao,1,1
SUPERV PROJ OBRAS SERPO(FG),SUPERV PROJ OBRAS SERPO(FG),Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORDENADOR DA UEP,COORDENADOR DA UEP,Liderança,Liderança,Superior completo,Superior completo: 100%,nao,1,1
SUPERINTENDENTE CADI,SUPERINTENDENTE CADI,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
AUX. DE EDUCACAO CLT,AUX. DE EDUCACAO CLT,Apoio,Operacional,Medio completo,Medio completo: 100%,nao,1,1
SUPERINTENDENTE SERT,SUPERINTENDENTE SERT,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
SUPERINTENDENTE SGC,SUPERINTENDENTE SGC,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
COORDENADOR,COORDENADOR,Liderança,Liderança,Superior completo,Superior completo: 100%,nao,1,1
SUPERINTENDENTE SERV M PROCON,SUPERINTENDENTE SERV M PROCON,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
SUPERINTENDENTE GPE,SUPERINTENDENTE GPE,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
ARQUEOLOGO,ARQUEOLOGO,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
ARQUIVISTA,ARQUIVISTA,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
SUPERINTENDENTE SEGOV,SUPERINTENDENTE SEGOV,Administrativo,Operacional,Superior completo,Superior completo: 100%,nao,1,1
