local_cru,local_canonico,tipo,sigla_secretaria,secretaria,registros,ativo
Serpo - D. Manutencao e Paisag,D. Manutencao E. Paisag,Setor,SERPO,Secretaria de Serviços Públicos e Obras,13,sim
Seplan - D. Geopr e Geotec Aplic.,D. Geopr E. Geotec Aplic.,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,13,sim
Seplan - Gabinete,Gabinete,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,13,sim
Sequav - D. Esp Alto Rend Soc,Sequav - D. Esp Alto Rend Soc,Setor,,,13,sim
Semob - Defesa CIVIL,Defesa Civil,Setor,SEMOB,Secretaria de Mobilidade,13,sim
Sedu - Cei 13 (aluisio Almeid),CEI 13 — Aluisio Almeid,Escola,SEDUC,Secretaria da Educação,13,sim
Sedu - em Tadeusz Josefczyh,EM Tadeusz Josefczyh,Escola,SEDUC,Secretaria da Educação,13,sim
Sedu - Cei 31 (victoria H Say),CEI 31 — Victoria H. Say,Escola,SEDUC,Secretaria da Educação,13,sim
Ses - Educacao em Saude,Educacao EM Saude,Escola,SES,Secretaria da Saúde,13,sim
Sefaz - D. Adm Financeira,D. Adm Financeira,Setor,SEFAZ,Secretaria da Fazenda,13,sim
Sehab - D. Regul Fund Cad,Sehab - D. Regul Fund Cad,Setor,,,13,sim
Separ - Uep,Separ - Uep,Outros,,,13,sim
Estagios - Ses Zoonoses,Estagios - Ses Zoonoses,Categoria,,,13,sim
Sema - D. Limpeza Urbana,D. Limpeza Urbana,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",12,sim
Semul - Gabinete,Semul - Gabinete,Setor,,,12,sim
Sefaz - D. Exec Orcamentaria,D. Exec Orcamentaria,Setor,SEFAZ,Secretaria da Fazenda,12,sim
Sequav - Gabinete,Sequav - Gabinete,Setor,,,12,sim
Ses - Pa Sorocaba I-medicos,PA Sorocaba I.-medicos,PA,SES,Secretaria da Saúde,12,sim
Ses - Pa Habiteto - Enfermagem,PA Habiteto - Enfermagem,PA,SES,Secretaria da Saúde,12,sim
Sedu - Cei 52 (olga C Fornaz),CEI 52 — Olga C. Fornaz,Escola,SEDUC,Secretaria da Educação,12,sim
Ses - Pa Sao Guil-enfermagem,PA Sao Guil-enfermagem,PA,SES,Secretaria da Saúde,12,sim
Ses - Cerest,Cerest,Outros,SES,Secretaria da Saúde,12,sim
Sedu - Cei 09 (fernando Rios),CEI 09 — Fernando Rios,Escola,SEDUC,Secretaria da Educação,12,sim
Sedu - Cei 30 (maria P Belloti),CEI 30 — Maria P. Belloti,Escola,SEDUC,Secretaria da Educação,12,sim
Sefaz - D. Casas do Cidadao Zel,D. Casas do Cidadao Zel,Setor,SEFAZ,Secretaria da Fazenda,12,sim
Seplan - D. Parcel e Uso do Solo,D. Parcel E. Uso do Solo,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,12,sim
Segov - Cto Mun Prev Concil Conf,Segov - Cto Mun Prev Concil Conf,Outros,,,12,sim
Sema - Pq Zoologico,Pq Zoologico,Outros,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",11,sim
Secult - D. Patrim Cult Hist,D. Patrim Cult Hist,Setor,SECULT,Secretaria de Cultura,11,sim
Ses - Pa Brig Tob-enfermagem,PA Brig Tob-enfermagem,PA,SES,Secretaria da Saúde,11,sim
Ses - Pa Caranda - Enfermagem,PA Caranda - Enfermagem,PA,SES,Secretaria da Saúde,11,sim
Ses - Pa Aparecidinha - Enfermagem,PA Aparecidinha - Enfermagem,PA,SES,Secretaria da Saúde,11,sim
Sedu - Cei 11 (tercila Freire),CEI 11 — Tercila Freire,Escola,SEDUC,Secretaria da Educação,11,sim
Serh - Cartorio 356,Serh - Cartorio 356,Outros,,,11,sim
Sedu - Cei 50 (alipio G Cunha),CEI 50 — Alipio G. Cunha,Escola,SEDUC,Secretaria da Educação,11,sim
Cpe - Gabinete do Poder Executivo,Cpe - Gabinete do Poder Executivo,Setor,,,11,sim
Sehab - Gabinete,Sehab - Gabinete,Setor,,,11,sim
Sedu - Cei 51 (rubens Vieira),CEI 51 — Rubens Vieira,Escola,SEDUC,Secretaria da Educação,11,sim
Sej - Proc Administrativa,Proc Administrativa,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,11,sim
Semob - Gabinete,Gabinete,Setor,SEMOB,Secretaria de Mobilidade,11,sim
Estagios - Serh,Estagios - Serh,Categoria,,,11,sim
Estagios - Semob,Estagios - Semob,Categoria,,,11,sim
Estagios - Separ,Estagios - Separ,Categoria,,,11,sim
Serpo - Cemit Saudade,Cemit Saudade,Outros,SERPO,Secretaria de Serviços Públicos e Obras,10,sim
Sedu - Cei 17 (issa Latuf),CEI 17 — Issa Latuf,Escola,SEDUC,Secretaria da Educação,10,sim
Sedu - Cei 25 (jorge F Schere),CEI 25 — Jorge F. Schere,Escola,SEDUC,Secretaria da Educação,10,sim
Sedu - Cei 36 (dr Abney Carn),CEI 36 — Dr. Abney Carn,Escola,SEDUC,Secretaria da Educação,10,sim
Sgc - Corregedoria-geral,Corregedoria-geral,Outros,SGC,Secretaria de Gabinete Central,10,sim
Sedu - Cei 39 (sha Ar Hanegev),CEI 39 — Sha Ar Hanegev,Escola,SEDUC,Secretaria da Educação,10,sim
Ses - Samu-adm,SAMU — Administrativo,Setor,SES,Secretaria da Saúde,10,sim
Sead - D. de Compras Diretas,Sead - D. de Compras Diretas,Setor,,,10,sim
Separ - D. de Proj de Arq e Eng,Separ - D. de Proj de Arq E. Eng,Setor,,,10,sim
Estagios - Sequav,Estagios - Sequav,Categoria,,,10,sim
Sesu - Gabinete,Gabinete,Setor,SESU,Secretaria de Segurança Urbana,9,sim
Sedu - D. Alim Escolar,D. Alim Escolar,Setor,SEDUC,Secretaria da Educação,9,sim
Serh - Cartorio 271,Serh - Cartorio 271,Outros,,,9,sim
Serh - Cartorio 343,Serh - Cartorio 343,Outros,,,9,sim
Sedu - Cei 21 (aureliano Rodr),CEI 21 — Aureliano Rodr,Escola,SEDUC,Secretaria da Educação,9,sim
Sedu - Cei 18 (miguel Cheda),CEI 18 — Miguel Cheda,Escola,SEDUC,Secretaria da Educação,9,sim
Sedu - Cei 44 (luiz Ribeiro),CEI 44 — Luiz Ribeiro,Escola,SEDUC,Secretaria da Educação,9,sim
Sedu - Cei 40 (duzolina Pagl),CEI 40 — Duzolina Pagl,Escola,SEDUC,Secretaria da Educação,9,sim
Sedu - Cei 38 (maria G Vecina),CEI 38 — Maria G. Vecina,Escola,SEDUC,Secretaria da Educação,9,sim
Sedu - Cei 91 (celia Cang Mend),CEI 91 — Celia Cang Mend,Escola,SEDUC,Secretaria da Educação,9,sim
Sead - D. Servicos Compartilhados,Sead - D. Servicos Compartilhados,Setor,,,9,sim
Sefaz - D. Contabilidade,D. Contabilidade,Setor,SEFAZ,Secretaria da Fazenda,9,sim
Sedu - Cei 111 (ivan Gerbovic),CEI 111 — Ivan Gerbovic,Escola,SEDUC,Secretaria da Educação,9,sim
Sgc - Auditoria-geral,Auditoria-geral,Outros,SGC,Secretaria de Gabinete Central,9,sim
Serh - D. Plan Contr Sedu,Serh - D. Plan Contr Sedu,Setor,,,9,sim
Sema - Gabinete,Gabinete,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",9,sim
Sesu - Seg Patrimonial,Seg Patrimonial,Outros,SESU,Secretaria de Segurança Urbana,8,sim
Serpo - D.adm Orcamentaria,D.adm Orcamentaria,Outros,SERPO,Secretaria de Serviços Públicos e Obras,8,sim
Sequav - Ce Pitico,Sequav - Ce Pitico,Outros,,,8,sim
Secid - Coordenadorias,Coordenadorias,Outros,SECID,Secretaria da Cidadania,8,sim
Sead - D. Apoio Adm e Operacional,Sead - D. Apoio Adm E. Operacional,Setor,,,8,sim
Serh - Cartorio 342,Serh - Cartorio 342,Outros,,,8,sim
Serh - Gabinete,Serh - Gabinete,Setor,,,8,sim
Serh - Cartorio 137,Serh - Cartorio 137,Outros,,,8,sim
Sema - D. Admin e Orcamento,D. Admin E. Orcamento,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",8,sim
Sintea - D. Incl e Ass a Pessoa Com Tea,Sintea - D. Incl E. Ass A Pessoa Com Tea,Setor,,,8,sim
Serpo - D. Fiscal Obras Publicas,D. Fiscal Obras Publicas,Setor,SERPO,Secretaria de Serviços Públicos e Obras,8,sim
Separ - D. Cap Conv e Financ,Separ - D. Cap Conv E. Financ,Setor,,,8,sim
Sema - D. Gestao Ambiental,D. Gestao Ambiental,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",8,sim
Separ - D. de Conc. e Parcerias,Separ - D. de Conc. E. Parcerias,Setor,,,8,sim
Sead - Gabinete,Sead - Gabinete,Setor,,,8,sim
Sej - Proc Ctle Externo,Proc Ctle Externo,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,8,sim
Estagios - Sead,Estagios - Sead,Categoria,,,8,sim
Estagios - Sej,Estagios - Sej,Categoria,,,8,sim
Sequav - Ce Maria Eugenia,Sequav - Ce Maria Eugenia,Outros,,,7,sim
Serh - Sindicato,Serh - Sindicato,Outros,,,7,sim
Sehab - D. Plan Vazios Urb Equip Sociais,Sehab - D. Plan Vazios Urb Equip Sociais,Setor,,,7,sim
Sequav - Ce Simus,Sequav - Ce Simus,Outros,,,7,sim
Sert - Gabinete,Sert - Gabinete,Setor,,,7,sim
Sema - D. Educ Amb e Interacao Social,D. Educ Amb E. Interacao Social,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",7,sim
Sedu - Cei 43 (vera L Maldon),CEI 43 — Vera L. Maldon,Escola,SEDUC,Secretaria da Educação,7,sim
Sedu - Cei 15 (terezinha L F),CEI 15 — Terezinha L. F.,Escola,SEDUC,Secretaria da Educação,7,sim
Ses - Central de Abast Farmaceutico,Central de Abast Farmaceutico,Outros,SES,Secretaria da Saúde,7,sim
Sej - Proc Geral,Proc Geral,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,7,sim
Setur - D. Fomento ao Turismo,Setur - D. Fomento Ao Turismo,Setor,,,7,sim
Sede - Gabinete,Sede - Gabinete,Setor,,,7,sim
Ses - D. Gerenc Adm e Atos Ofic Ses,D. Gerenc Adm E. Atos Ofic Ses,Setor,SES,Secretaria da Saúde,7,sim
Semepp - Gabinete,Semepp - Gabinete,Setor,,,7,sim
Secid - D. Parcerias e Plan,D. Parcerias E. Plan,Setor,SECID,Secretaria da Cidadania,7,sim
Sgc - Coord-geral Trat Dados Pessoais do Municipio,Coord-geral Trat Dados Pessoais do Municipio,Outros,SGC,Secretaria de Gabinete Central,7,sim
Sequav - D. Gest Adm Op Tec,Sequav - D. Gest Adm Op Tec,Setor,,,7,sim
Serh - D. Adm Rh Ses,Serh - D. Adm Rh Ses,Setor,,,7,sim
Estagios - Ses Policlinica,Estagios - Ses Policlinica,Categoria,,,7,sim
Estagios - Ouvidoria,Estagios - Ouvidoria,Categoria,,,7,sim
Estagios - Sej Dpu,Estagios - Sej Dpu,Categoria,,,7,sim
Estagios- Sead DIV Arq Pub Mun,Estagios- Sead DIV Arq Pub Mun,Categoria,,,7,sim
Sequav - Estadio Municipal,Sequav - Estadio Municipal,Outros,,,6,sim
Serim - Gabinete,Serim - Gabinete,Setor,,,6,sim
Sedu - D. Compras e Contratos,D. Compras E. Contratos,Setor,SEDUC,Secretaria da Educação,6,sim
Sedu - Cei 26 (luiz Sanctis),CEI 26 — Luiz Sanctis,Escola,SEDUC,Secretaria da Educação,6,sim
Ses - Centr Regul Leitos,Centr Regul Leitos,Outros,SES,Secretaria da Saúde,6,sim
Sedu - D. Adm Financas,D. Adm Financas,Setor,SEDUC,Secretaria da Educação,6,sim
Serh - Cartorio 294,Serh - Cartorio 294,Outros,,,6,sim
Setur - Gabinete,Setur - Gabinete,Setor,,,6,sim
Secult - Bibl Municipal,Bibl Municipal,Outros,SECULT,Secretaria de Cultura,6,sim
Secid - D. Apoio Oper e Contratos,D. Apoio Oper E. Contratos,Setor,SECID,Secretaria da Cidadania,6,sim
Separ - Gabinete,Separ - Gabinete,Setor,,,6,sim
Fss,Fss,Outros,,,5,sim
Sesu - Base Apoio Regional,Base Apoio Regional,Outros,SESU,Secretaria de Segurança Urbana,5,sim
Secult - D. Planej Cultural,D. Planej Cultural,Setor,SECULT,Secretaria de Cultura,5,sim
Ses - Pa Aparecidinha - Medicos,PA Aparecidinha - Medicos,PA,SES,Secretaria da Saúde,5,sim
Segov - D. Expediente,Segov - D. Expediente,Setor,,,5,sim
Ses - Centr Regul Leitos-medic,Centr Regul Leitos-medic,Outros,SES,Secretaria da Saúde,5,sim
Secid - D. Vig Socioassist,D. Vig Socioassist,Setor,SECID,Secretaria da Cidadania,5,sim
Ses - Pa Brig Tob-medicos,PA Brig Tob-medicos,PA,SES,Secretaria da Saúde,5,sim
Ses - Auditoria,Auditoria,Outros,SES,Secretaria da Saúde,5,sim
Ses - Pa Sorocaba I-adm-rec,PA Sorocaba I.-adm-rec,PA,SES,Secretaria da Saúde,5,sim
Ses - D. Orcamento da Ses,D. Orcamento da Ses,Setor,SES,Secretaria da Saúde,5,sim
Ses - Policlinica-onibus Azul,Policlínica — Ônibus Azul,Setor,SES,Secretaria da Saúde,5,sim
Sefaz - D. Prest Ctas Conv,D. Prest Ctas Conv,Setor,SEFAZ,Secretaria da Fazenda,5,sim
Ses - Coord Saude Mental,Coord Saude Mental,Outros,SES,Secretaria da Saúde,5,sim
Sintea - Gabinete,Sintea - Gabinete,Setor,,,5,sim
Sequav - Ce Brig Tobias,Sequav - Ce Brig Tobias,Outros,,,5,sim
Ses - Pa Sao Guil-medicos,PA Sao Guil-medicos,PA,SES,Secretaria da Saúde,5,sim
Estagios - Secom,Estagios - Secom,Categoria,,,5,sim
Estagios - Secid,Estagios - Secid,Categoria,,,5,sim
Secult - Bibl Infantil,Bibl Infantil,Outros,SECULT,Secretaria de Cultura,4,sim
Sesu - Junta Serv Militar,Junta Serv Militar,Outros,SESU,Secretaria de Segurança Urbana,4,sim
Secult - Teatro Mun Tv,Teatro Mun Tv,Outros,SECULT,Secretaria de Cultura,4,sim
Sert - Univesp,Sert - Univesp,Outros,,,4,sim
Ses - D. Apoio ao Samu,D. Apoio Ao SAMU,Setor,SES,Secretaria da Saúde,4,sim
Sead - D. Editais e Minutas de Licitacao,Sead - D. Editais E. Minutas de Licitacao,Setor,,,4,sim
Sequav - Ciel Aloisio Almeida,Sequav - Ciel Aloisio Almeida,Outros,,,4,sim
Seplan - D. Apoio Adm e Sup Operacoes,D. Apoio Adm E. Sup Operacoes,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,4,sim
Ses - Pa Sao Bento - Adm-rec,PA Sao Bento - Adm-rec,PA,SES,Secretaria da Saúde,4,sim
Sequav - Ce Gabriel,Sequav - Ce Gabriel,Outros,,,4,sim
Sede - D. Desenv. Empresarial,Sede - D. Desenv. Empresarial,Setor,,,4,sim
Estagios - Ses DIV Vig Epidem,Estagios - Ses DIV Vig Epidem,Categoria,,,4,sim
Estagios - Semepp,Estagios - Semepp,Categoria,,,4,sim
Estagios - Sema - D Educ Amb,Estagios - Sema - D. Educ Amb,Categoria,,,4,sim
Estagios - Segov - Concilia,Estagios - Segov - Concilia,Categoria,,,4,sim
Sema - Pq Chico Mendes,Pq Chico Mendes,Outros,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",3,sim
Secult - Museu Hist Soroc,Museu Hist Soroc,Outros,SECULT,Secretaria de Cultura,3,sim
Serpo - Cemit Consolacao,Cemit Consolacao,Outros,SERPO,Secretaria de Serviços Públicos e Obras,3,sim
Sema - Jd Botanico,Jd Botanico,Outros,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",3,sim
Sesu - D. Op Esp Intelig,D. Op Esp Intelig,Setor,SESU,Secretaria de Segurança Urbana,3,sim
Sehab - D. Plan Des Socio Hab,Sehab - D. Plan Des Socio Hab,Setor,,,3,sim
Ses - D. Rede de Atencao a Saude,D. Rede de Atencao A Saude,Setor,SES,Secretaria da Saúde,3,sim
Sequav - D. Compet Esportivas,Sequav - D. Compet Esportivas,Setor,,,3,sim
Sesu - D. Plan e Apoio a Progr e Proj,D. Plan E. Apoio A Progr E. Proj,Setor,SESU,Secretaria de Segurança Urbana,3,sim
Sert - Uniten,Sert - Uniten,Outros,,,3,sim
Serpo - Cemit Sto Antonio,Cemit Sto Antonio,Outros,SERPO,Secretaria de Serviços Públicos e Obras,3,sim
Sequav - Ginasio Esporte,Sequav - Ginasio Esporte,Outros,,,3,sim
Semob - D. Proc de Multas,D. Proc de Multas,Setor,SEMOB,Secretaria de Mobilidade,3,sim
Ses - Pa Caranda - Medicos,PA Caranda - Medicos,PA,SES,Secretaria da Saúde,3,sim
Ses - Pa Aparecidinha - Adm,PA Aparecidinha - Adm,PA,SES,Secretaria da Saúde,3,sim
Estagios - Sedetur - Casa Tur,Estagios - Sedetur - Casa Tur,Categoria,,,3,sim
Estagios - Sema,Estagios - Sema,Categoria,,,3,sim
Estagios - Sema - D LIC Ctl Amb,Estagios - Sema - D. LIC Ctl Amb,Categoria,,,3,sim
Estagios - Corregedoria,Estagios - Corregedoria,Categoria,,,3,sim
Sema - Pq Agua Vermelha,Pq Agua Vermelha,Outros,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",2,sim
Sedu - Casa dos Conselhos,Casa dos Conselhos,Outros,SEDUC,Secretaria da Educação,2,sim
Sequav - Ce Pinheiros,Sequav - Ce Pinheiros,Outros,,,2,sim
Serpo - Cemit Aparecidinha,Cemit Aparecidinha,Outros,SERPO,Secretaria de Serviços Públicos e Obras,2,sim
Funserv,Funserv,Outros,,,2,sim
Ses - Policlinica-onibus Rosa,Policlínica — Ônibus Rosa,Setor,SES,Secretaria da Saúde,2,sim
Ses - Pa Caranda - Adm-rec,PA Caranda - Adm-rec,PA,SES,Secretaria da Saúde,2,sim
Sede - Metarreciclagem,Sede - Metarreciclagem,Outros,,,2,sim
Serh - Ministerio do Trabalho,Serh - Ministerio do Trabalho,Outros,,,2,sim
Secult - Ceu das Artes,CEU das Artes,Outros,SECULT,Secretaria de Cultura,2,sim
Segov - D. Gestao Acoes Govern,Segov - D. Gestao Acoes Govern,Setor,,,2,sim
Sequav - Ginasio Nilton Torres,Sequav - Ginasio Nilton Torres,Outros,,,2,sim
Sema - Pq Biquinha,Pq Biquinha,Outros,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",2,sim
Secult - Pq Espanhois,Pq Espanhois,Outros,SECULT,Secretaria de Cultura,2,sim
Sesu - Tiro de Guerra,Tiro de Guerra,Outros,SESU,Secretaria de Segurança Urbana,2,sim
Ses - Pa Brig Tob-adm-rec,PA Brig Tob-adm-rec,PA,SES,Secretaria da Saúde,2,sim
Ses - Pa Sao Guil-adm-rec,PA Sao Guil-adm-rec,PA,SES,Secretaria da Saúde,2,sim
Sequav - Arena Multiuso,Sequav - Arena Multiuso,Outros,,,2,sim
Ses - Pa Habiteto - Adm,PA Habiteto - Adm,PA,SES,Secretaria da Saúde,2,sim
Chefia do Poder Executivo,Chefia do Poder Executivo,Outros,,,2,sim
Estagios - Pq Biquinha-sema,Estagios - Pq Biquinha-sema,Categoria,,,2,sim
Estagios - Pq Zoologico-sema,Estagios - Pq Zoologico-sema,Categoria,,,2,sim
Estagios - Sede Gabinete,Estagios - Sede Gabinete,Categoria,,,2,sim
Estagios - Ses DIV Aval Contr,Estagios - Ses DIV Aval Contr,Categoria,,,2,sim
Estagios - Sede - Uniten,Estagios - Sede - Uniten,Categoria,,,2,sim
Estagios - Metareciclagem,Estagios - Metareciclagem,Categoria,,,2,sim
Serh - Justica do Trabalho,Serh - Justica do Trabalho,Outros,,,1,sim
Sequav - Ce Ceu das Artes,Sequav - Ce CEU das Artes,Outros,,,1,sim
Sesu - Posto Recrut e Mob Prm,Posto Recrut E. Mob Prm,Outros,SESU,Secretaria de Segurança Urbana,1,sim
Sgc - Controladoria-geral,Controladoria-geral,Outros,SGC,Secretaria de Gabinete Central,1,sim
Serh - Camara Municipal,Serh - Camara Municipal,Outros,,,1,sim
Serh - Arq Publico de Sp,Serh - Arq Publico de Sp,Outros,,,1,sim
Serh - Vara das Garantias,Serh - Vara das Garantias,Outros,,,1,sim
Secid - Cejusc,Cejusc,Outros,SECID,Secretaria da Cidadania,1,sim
Parque Tecnologico,Parque Tecnologico,Outros,,,1,sim
Segov - D. Adm e Governo,Segov - D. Adm E. Governo,Setor,,,1,sim
Secult - Museu Estr Ferro,Museu Estr Ferro,Outros,SECULT,Secretaria de Cultura,1,sim
Segov - D. Gestao Proj de Governo,Segov - D. Gestao Proj de Governo,Setor,,,1,sim
Sequav - Almoxarifado,Sequav - Almoxarifado,Outros,,,1,sim
Estagios - Sert,Estagios - Sert,Categoria,,,1,sim
Estagios - Ses DIV Vig Sanit,Estagios - Ses DIV Vig Sanit,Categoria,,,1,sim
Estagios - Sefaz - Secretaria,Estagios - Sefaz - Secretaria,Categoria,,,1,sim
Estagios - Pq Agua Verm-sema,Estagios - Pq Agua Verm-sema,Categoria,,,1,sim
Estagios - Setur,Estagios - Setur,Categoria,,,1,sim
